timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms,player_count
42096,563.0,13.51,-1.00,1.78,-1.0000,-1.0000,469.07,12007,108,-1,0.0,2
42347,381.2,14.94,-1.00,2.62,-1.0000,-1.0000,469.10,12007,108,-1,0.0,2
42600,277.3,11.37,-1.00,3.61,-1.0000,-1.0000,469.14,12007,108,-1,0.0,2
42851,369.6,16.08,-1.00,2.71,-1.0000,-1.0000,469.19,12007,108,-1,0.0,2
43107,119.6,9.65,-1.00,8.36,-1.0000,-1.0000,469.21,12007,108,-1,0.0,2
43358,526.6,16.59,-1.00,1.90,-1.0000,-1.0000,469.27,12007,108,-1,0.0,2
43609,443.0,15.54,-1.00,2.26,-1.0000,-1.0000,469.32,12007,108,-1,0.0,2
43860,584.7,16.10,-1.00,1.71,-1.0000,-1.0000,469.37,12007,108,-1,0.0,2
44113,379.9,11.36,-1.00,2.63,-1.0000,-1.0000,469.40,12007,108,-1,0.0,2
44363,427.0,19.73,-1.00,2.34,-1.0000,-1.0000,469.45,12007,108,-1,0.0,2
44614,538.4,19.26,-1.00,1.86,-1.0000,-1.0000,469.70,12307,158,-1,0.0,2
44864,500.1,12.50,-1.00,2.00,-1.0000,-1.0000,470.00,12679,220,-1,0.0,2
45114,420.0,19.16,-1.00,2.38,-1.0000,-1.0000,469.91,12463,184,-1,0.0,2
45365,430.9,14.03,-1.00,2.32,-1.0000,-1.0000,469.72,12079,120,-1,0.0,2
45619,253.2,15.42,-1.00,3.95,-1.0000,-1.0000,469.73,12007,108,-1,0.0,2
45871,74.6,9.79,-1.00,13.40,-1.0000,-1.0000,469.78,12019,110,-1,0.0,2
46122,449.6,11.96,-1.00,2.22,-1.0000,-1.0000,469.84,12019,110,-1,0.0,2
46372,505.7,20.28,-1.00,1.98,-1.0000,-1.0000,469.89,12019,110,-1,0.0,2
46622,561.7,18.16,-1.00,1.78,-1.0000,-1.0000,469.93,12019,110,-1,0.0,2
46873,500.8,15.62,-1.00,2.00,-1.0000,-1.0000,469.99,12019,110,-1,0.0,2
47124,516.2,20.25,-1.00,1.94,-1.0000,-1.0000,470.05,12019,110,-1,0.0,2
47375,535.8,11.42,-1.00,1.87,-1.0000,-1.0000,470.12,12019,110,-1,0.0,2
47625,551.4,19.70,-1.00,1.81,-1.0000,-1.0000,470.16,12019,110,-1,0.0,2
47877,510.2,14.51,-1.00,1.96,-1.0000,-1.0000,470.32,12019,110,-1,0.0,2
48129,468.7,16.06,-1.00,2.13,-1.0000,-1.0000,470.37,12019,110,-1,0.0,2
48380,465.4,16.58,-1.00,2.15,-1.0000,-1.0000,470.44,12019,110,-1,0.0,2
48631,507.1,17.08,-1.00,1.97,-1.0000,-1.0000,470.48,12019,110,-1,0.0,2
48882,561.8,14.03,-1.00,1.78,-1.0000,-1.0000,470.54,12019,110,-1,0.0,2
49133,546.7,17.09,-1.00,1.83,-1.0000,-1.0000,470.61,12019,110,-1,0.0,2
